"partid","task_ord","cond","task_ind","task","session","time","gamble_ind","gamble_lab","box","opt","outcome","rt","nopt","H","R"
400147301,"dfd_dfe","decr",1,"dfd","71837f3b8ec93b87896f986a8b9b2c63",1411992504,2,"soep3_4",2,"c",3,13659,4,0,0
400147301,"dfd_dfe","decr",1,"dfd","71837f3b8ec93b87896f986a8b9b2c63",1411992512,3,"soep2_2",2,"b",3,4348,2,0,0
400147301,"dfd_dfe","decr",1,"dfd","71837f3b8ec93b87896f986a8b9b2c63",1411992521,4,"soep1_2",1,"b",3,5072,2,0,0
400147301,"dfd_dfe","decr",2,"dfe","71837f3b8ec93b87896f986a8b9b2c63",1411992639,1,"soep4_4",1,"a",0,665,4,1,1
400147301,"dfd_dfe","decr",2,"dfe","71837f3b8ec93b87896f986a8b9b2c63",1411992664,2,"soep3_4",2,"b",0,62,4,0,1
400147301,"dfd_dfe","decr",2,"dfe","71837f3b8ec93b87896f986a8b9b2c63",1411992679,3,"soep2_2",1,"b",3,3720,2,0,0
400147301,"dfd_dfe","decr",2,"dfe","71837f3b8ec93b87896f986a8b9b2c63",1411992692,4,"soep1_2",1,"a",0,531,2,1,1
400147302,"dfe_dfd","incr",1,"dfe","6ecd56118651a8edcff7c16c542e8f53",1411995184,1,"soep1_2",1,"b",3,1722,2,0,0
400147302,"dfe_dfd","incr",1,"dfe","6ecd56118651a8edcff7c16c542e8f53",1411995203,2,"soep2_2",1,"b",3,33,2,0,0
400147302,"dfe_dfd","incr",1,"dfe","6ecd56118651a8edcff7c16c542e8f53",1411995250,3,"soep3_4",4,"a",0,1298,4,1,1
400147302,"dfe_dfd","incr",1,"dfe","6ecd56118651a8edcff7c16c542e8f53",1411995284,4,"soep4_4",4,"d",0,796,4,0,1
400147302,"dfe_dfd","incr",2,"dfd","6ecd56118651a8edcff7c16c542e8f53",1411995343,1,"soep1_2",2,"b",3,7947,2,0,0
400147302,"dfe_dfd","incr",2,"dfd","6ecd56118651a8edcff7c16c542e8f53",1411995363,2,"soep2_2",2,"b",3,11868,2,0,0
400147302,"dfe_dfd","incr",2,"dfd","6ecd56118651a8edcff7c16c542e8f53",1411995372,3,"soep3_4",1,"a",0,5075,4,1,1
400147302,"dfe_dfd","incr",2,"dfd","6ecd56118651a8edcff7c16c542e8f53",1411995395,4,"soep4_4",3,"a",0,13416,4,1,1
