"mean","HDIl","HDIu","r2_med","r2_sd","timestamp","dv","sex","age","fluid","cryst","hhinc","incomenet","eduyears","social","sports","empl","effect","model","do_sim","j_sim","SOEPgen","SOEPdri","SOEPinv","SOEPrec","SOEPocc","SOEPhea","SOEPsoc","S.dfe2","S.dfe4","R.dfe2","R.dfe4","R.dfd2","R.dfd4","REM","REMsr","REMbeh","sim_median","sim_min","sim_max"
0.123452098663408,0.0297096463204847,0.21642409144195,0.0179227834876232,0.0123393208004916,1520084493.45441,"SOEPdri","no","no","yes","no","no","yes","no","no","no","no","incomenet",66,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0988337757996685,0.00647844456695875,0.192754724563738,0.0194399533147769,0.0128924390248828,1520084492.91381,"SOEPinv","no","no","yes","no","no","yes","no","no","no","no","incomenet",67,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.060168833703176,-0.144235490832648,0.0242013903633291,0.0257610128937596,0.0142674086014999,1520084493.99539,"SOEPrec","no","no","yes","no","no","yes","no","no","no","no","incomenet",68,FALSE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0101534768680345,-0.0752662586183677,0.0938404222861534,0.019509095114574,0.0131021352878617,1520084494.2928,"SOEPocc","no","no","yes","no","no","yes","no","no","no","no","incomenet",69,FALSE,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0516596446430868,-0.0346116208434988,0.14007269617736,0.00555480436638168,0.00645596432309069,1520084494.35711,"SOEPhea","no","no","yes","no","no","yes","no","no","no","no","incomenet",70,FALSE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0509111515132619,-0.0398864388016985,0.14241388236555,0.0154869052036469,0.0113563080415075,1520084494.71478,"SOEPsoc","no","no","yes","no","no","yes","no","no","no","no","incomenet",71,FALSE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.0772058984102609,-0.183423741011371,0.0272478505881164,0.0155338147153969,0.0114669738613892,1520084495.12201,"S.dfe2","no","no","yes","no","no","yes","no","no","no","no","incomenet",72,FALSE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
0.0115419083231186,-0.07663104772055,0.101243478061434,0.0523868940813271,0.0194282842608605,1520084495.53574,"S.dfe4","no","no","yes","no","no","yes","no","no","no","no","incomenet",73,FALSE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA
-0.0523352081166274,-0.140907964552193,0.038506993254415,0.00567230280484429,0.00645533176183807,1520084470.84371,"R.dfe2","no","no","yes","no","no","yes","no","no","no","no","incomenet",74,FALSE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA
-0.0362319212730582,-0.132232280730287,0.0566786937359662,0.004289001443769,0.00574899209803734,1520084494.91919,"R.dfe4","no","no","yes","no","no","yes","no","no","no","no","incomenet",75,FALSE,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
-0.0276419053811294,-0.1255442472211,0.0668198236365115,0.00377459471298869,0.00541712578710632,1520084496.78885,"R.dfd2","no","no","yes","no","no","yes","no","no","no","no","incomenet",76,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA
-0.0495430335849272,-0.137511078109474,0.0411775151177043,0.00783354781266427,0.00778910818132375,1520084496.63948,"R.dfd4","no","no","yes","no","no","yes","no","no","no","no","incomenet",77,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
